source_row,source_kind,work_name,zone_code,zone_name,source_label,activity_name,source_resolution_status,normalization_note,mapping_status,match_level,mapping_note,timing_status,start_day,finish_day,elapsed_span_days,duration_basis,timing_basis,baseline_version,baseline_commit_sha,source_register_commit_sha,matched_activity_count,matched_activity_ids,critical_exposure,critical_exposure_note,network_basis
"3","PHYSICAL_SCOPE","งานโครงสร้าง","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนทางเข้า-ออก หลัก","โซนทางเข้า–ออกหลัก","CLEAN","ปรับเครื่องหมายขีดเพื่อการแสดงผลเท่านั้น","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","181","304","124","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","6","P01-A21-REL;P01-A21-SUR;P01-A21-CTRL;P01-A21-EW;P01-A21-DRN;P01-A21-BASE","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"4","PHYSICAL_SCOPE","งานโครงสร้าง","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนอาคารรับรอง อาคารพิพิธภัณฑ์และนิทรรศการ","โซนอาคารรับรอง อาคารพิพิธภัณฑ์และนิทรรศการ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","181","557","377","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","11","P01-A23-REL;P01-A23-SUR;P01-A23-EXC;P01-A23-BLI;P01-A23-RBF;P01-A23-FMF;P01-A23-HOLD;P01-A23-FND;P01-A23-GB;P01-A23-FRM;P01-A23-ROOF","CONTAINS_ZERO_FLOAT_DETAIL","มีอย่างน้อยหนึ่งกิจกรรมรายละเอียดที่อ้างอิงอยู่บนเส้น Total Float = 0; ไม่ได้หมายความว่า Summary bar ทั้งช่วงเป็น Critical Path","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"5","PHYSICAL_SCOPE","งานโครงสร้าง","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนอาคารร้านอาหารและร้านกาแฟ","โซนอาคารร้านอาหารและร้านกาแฟ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","300","562","263","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","11","P01-A24-REL;P01-A24-SUR;P01-A24-EXC;P01-A24-BLI;P01-A24-RBF;P01-A24-FMF;P01-A24-HOLD;P01-A24-FND;P01-A24-GB;P01-A24-FRM;P01-A24-ROOF","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"6","PHYSICAL_SCOPE","งานโครงสร้าง","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนอาคารประชุม และอเนกประสงค์","โซนอาคารประชุม และอเนกประสงค์","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","330","598","269","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","11","P01-A25-REL;P01-A25-SUR;P01-A25-EXC;P01-A25-BLI;P01-A25-RBF;P01-A25-FMF;P01-A25-HOLD;P01-A25-FND;P01-A25-GB;P01-A25-FRM;P01-A25-ROOF","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"7","PHYSICAL_SCOPE","งานโครงสร้าง","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","อาคารผลิตน้ำประปา","อาคารผลิตน้ำประปา","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","360","605","246","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","11","P01-A26-REL;P01-A26-SUR;P01-A26-EXC;P01-A26-BLI;P01-A26-RBF;P01-A26-FMF;P01-A26-HOLD;P01-A26-FND;P01-A26-GB;P01-A26-FRM;P01-A26-ROOF","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"8","PHYSICAL_SCOPE","งานโครงสร้าง","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนสนามหญ้าอเนกประสงค์","โซนสนามหญ้าอเนกประสงค์","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","520","688","169","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","6","P01-A27-REL;P01-A27-SUR;P01-A27-CTRL;P01-A27-EW;P01-A27-DRN;P01-A27-BASE","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"10","PHYSICAL_SCOPE","งานโครงสร้าง","B","โซนพักค้างคืน 1 (zone B)","งานห้องน้ำ","งานห้องน้ำ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","500","648","149","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","11","P01-B31-REL;P01-B31-SUR;P01-B31-EXC;P01-B31-BLI;P01-B31-RBF;P01-B31-FMF;P01-B31-HOLD;P01-B31-FND;P01-B31-GB;P01-B31-FRM;P01-B31-ROOF","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"11","PHYSICAL_SCOPE","งานโครงสร้าง","B","โซนพักค้างคืน 1 (zone B)","โซนอาคารห้องน้ำ","โซนอาคารห้องน้ำ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","500","648","149","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","11","P01-B31-REL;P01-B31-SUR;P01-B31-EXC;P01-B31-BLI;P01-B31-RBF;P01-B31-FMF;P01-B31-HOLD;P01-B31-FND;P01-B31-GB;P01-B31-FRM;P01-B31-ROOF","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"12","PHYSICAL_SCOPE","งานโครงสร้าง","B","โซนพักค้างคืน 1 (zone B)","งานผังบริเวณและปรับปรุงภูมิทัศน์","งานผังบริเวณและปรับปรุงภูมิทัศน์","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","720","821","102","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","6","P01-B34-REL;P01-B34-SUR;P01-B34-CTRL;P01-B34-EW;P01-B34-DRN;P01-B34-BASE","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"13","PHYSICAL_SCOPE","งานโครงสร้าง","B","โซนพักค้างคืน 1 (zone B)","งานจุดรวมขยะโครงการ","งานจุดรวมขยะโครงการ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","520","640","121","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","11","P01-B32-REL;P01-B32-SUR;P01-B32-EXC;P01-B32-BLI;P01-B32-RBF;P01-B32-FMF;P01-B32-HOLD;P01-B32-FND;P01-B32-GB;P01-B32-FRM;P01-B32-ROOF","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
